강릉
	-3
	-3
	-1
	-1
	-3
	-3
	-4
	-4
	-2
	-2
	0
	0
	1
광주
	-3
	-3
	-1
	-1
	-3
	-3
	-4
	-4
	-2
	-2
	-1
	-1
	0
군산
	-4
	-4
	-1
	-1
	-6
	-6
	-6
	-6
	-2
	-2
	-1
	-1
	-1
대구
	-4
	-4
	0
	0
	-7
	-7
	-7
	-7
	-6
	-6
	-1
	-3
	-3
대전
	-6
	-6
	-2
	-2
	-7
	-7
	-8
	-8
	-5
	-5
	-3
	-5
	-4
목포
	-2
	-2
	-1
	-1
	-2
	-2
	-2
	-2
	-1
	-1
	2
	1
	2
부산
	-1
	-1
	3
	3
	-2
	-2
	-3
	-3
	1
	1
	2
	3
	3
서귀포
	2
	2
	6
	6
	3
	3
	3
	3
	4
	4
	5
	6
	5
서울
	-6
	-6
	-1
	-1
	-8
	-8
	-9
	-9
	-6
	-6
	-6
	-5
	-3
세종
	-9
	-9
	-4
	-4
	-8
	-8
	-10
	-10
	-7
	-7
	-4
	-7
	-5
수원
	-5
	-5
	-2
	-2
	-8
	-8
	-9
	-9
	-6
	-6
	-5
	-5
	-4
안동
	-8
	-8
	-3
	-3
	-9
	-9
	-10
	-10
	-9
	-9
	-4
	-6
	-5
여수
	0
	0
	1
	1
	-2
	-2
	-2
	-2
	-1
	-1
	3
	3
	4
울산
	-3
	-3
	2
	2
	-3
	-3
	-5
	-5
	-1
	-1
	0
	1
	1
원주
	-8
	-8
	-5
	-5
	-7
	-7
	-8
	-8
	-6
	-6
	-4
	-4
	-3
인천
	-5
	-5
	0
	0
	-8
	-8
	-8
	-8
	-5
	-5
	-4
	-4
	-2
전주
	-5
	-5
	-2
	-2
	-6
	-6
	-7
	-7
	-3
	-3
	-2
	-1
	-1
제주
	3
	3
	6
	6
	2
	2
	2
	2
	4
	4
	5
	6
	5
창원
	-2
	-2
	1
	1
	-3
	-3
	-4
	-4
	-1
	-1
	1
	1
	1
청주
	-7
	-7
	-1
	-1
	-6
	-6
	-7
	-7
	-6
	-6
	-3
	-4
	-3
춘천
	-8
	-8
	-7
	-7
	-8
	-8
	-10
	-10
	-9
	-9
	-7
	-7
	-6
파주
	-10
	-10
	-3
	-3
	-12
	-12
	-13
	-13
	-11
	-11
	-9
	-9
	-6
포항
	-2
	-2
	2
	2
	-6
	-6
	-6
	-6
	-3
	-3
	0
	-1
	-1
홍성
	-9
	-9
	-3
	-3
	-8
	-8
	-10
	-10
	-7
	-7
	-4
	-6
	-4
